"processed","message_id","event","api_key_id","recv_message_id","credential_id","subject","from","email","asm_group_id","template_id","originating_ip","reason","outbound_ip","outbound_ip_type","mx","attempt","url","user_agent","type","is_unique","username","categories","marketing_campaign_id","marketing_campaign_name","marketing_campaign_split_id","marketing_campaign_version","unique_args"
"2026-01-07 10:32:30.000","qiYR2mfKSZKAtTkBqMeFMg.recvd-5fd89d8b4b-dxbvb-1-695E363E-15.0","drop","","qiYR2mfKSZKAtTkBqMeFMg","","Pago realizado correctamente","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 10:58:02.000","5otOTvWkSfOOU-QH1Z6v1Q.recvd-5fb7fdbd94-j4dtp-1-695E3C3A-22.0","processed","","5otOTvWkSfOOU-QH1Z6v1Q","","Test Notifications Service","elenaberdu@gmail.com","elenaberdu@gmail.com","","","87.58.86.119","","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 10:58:05.000","5otOTvWkSfOOU-QH1Z6v1Q.recvd-5fb7fdbd94-j4dtp-1-695E3C3A-22.0","delivered","","5otOTvWkSfOOU-QH1Z6v1Q","","","","elenaberdu@gmail.com","","","","250 2.0.0 OK  1767783485 af79cd13be357-8c37f55232csi505244685a.489 - gsmtp","159.183.235.50","shared","gmail-smtp-in.l.google.com",0,"","","","","","[]","","","","","{}"
"2026-01-07 11:47:46.000","3f3FQFzKS02Gu8MSehtYyQ.recvd-6db4b8db96-mn67z-1-695E47E2-19.0","drop","","3f3FQFzKS02Gu8MSehtYyQ","","Nuevo inicio de sesión en tu cuenta","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 11:51:44.000","usQdPw6tTWC0r5EdG6B3sQ.recvd-7445688857-2qsvt-1-695E48D0-12.0","drop","","usQdPw6tTWC0r5EdG6B3sQ","","Pago realizado correctamente","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 11:54:00.000","Wego9xEfSxi0-Drmwxfyog.recvd-5fd89d8b4b-h864f-1-695E4957-11.0","drop","","Wego9xEfSxi0-Drmwxfyog","","Nuevo inicio de sesión en tu cuenta","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 11:54:01.000","x9-4PrlBT5ifF9QD9fHGDw.recvd-6cfbc69475-g7656-1-695E4959-8.0","drop","","x9-4PrlBT5ifF9QD9fHGDw","","Pago realizado correctamente","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 11:54:02.000","wg76PnOLTXy61QyTxcNXFg.recvd-6db4b8db96-zkw26-1-695E495A-1.0","drop","","wg76PnOLTXy61QyTxcNXFg","","Alerta de seguridad: posible fraude detectado","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 11:55:54.000","KBkLr2QLTsCy5Zqb-dUr0g.recvd-6db4b8db96-qsdt2-1-695E49CA-4.0","processed","","KBkLr2QLTsCy5Zqb-dUr0g","","Test Notifications Service","elenaberdu@gmail.com","elenaberdu@gmail.com","","","87.58.86.119","","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 11:55:56.000","KBkLr2QLTsCy5Zqb-dUr0g.recvd-6db4b8db96-qsdt2-1-695E49CA-4.0","delivered","","KBkLr2QLTsCy5Zqb-dUr0g","","","","elenaberdu@gmail.com","","","","250 2.0.0 OK  1767786956 6a1803df08f44-890771cfdadsi46932656d6.187 - gsmtp","149.72.123.24","shared","gmail-smtp-in.l.google.com",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:03:30.000","Pg_nnxiTSDi74EHF-Uwpqg.recvd-6db4b8db96-275gs-1-695E4B92-46.0","drop","","Pg_nnxiTSDi74EHF-Uwpqg","","Nuevo inicio de sesión en tu cuenta","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:03:31.000","tX-rISloQty4S9cZ__3qMw.recvd-5fd89d8b4b-bn27p-1-695E4B93-C.0","processed","","tX-rISloQty4S9cZ__3qMw","","Test Notifications Service","elenaberdu@gmail.com","elenaberdu@gmail.com","","","87.58.86.119","","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:03:34.000","tX-rISloQty4S9cZ__3qMw.recvd-5fd89d8b4b-bn27p-1-695E4B93-C.0","delivered","","tX-rISloQty4S9cZ__3qMw","","","","elenaberdu@gmail.com","","","","250 2.0.0 OK  1767787414 41be03b00d2f7-c4cbd3ad9b2si6962890a12.34 - gsmtp","159.183.224.105","shared","gmail-smtp-in.l.google.com",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:13:02.000","qWH5F3r1RhSXx72qOu8xqw.recvd-7bd9484584-pwj7w-1-695E4DCE-B.0","drop","","qWH5F3r1RhSXx72qOu8xqw","","Nuevo inicio de sesión en tu cuenta","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:13:02.000","es1DpHctQ52PVHSCuvtMhg.recvd-67dddcc6fc-hws7g-1-695E4DCE-28.0","drop","","es1DpHctQ52PVHSCuvtMhg","","Pago realizado correctamente","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:13:03.000","LUNVkPp0QAWA3uBZUxhapQ.recvd-7bd9484584-2jsnx-1-695E4DCF-5.0","drop","","LUNVkPp0QAWA3uBZUxhapQ","","Pago realizado correctamente","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:13:08.000","4t_r6u1tSiWe3iCgk-VlIw.recvd-57646fdd57-4xhjf-1-695E4DD4-25.0","drop","","4t_r6u1tSiWe3iCgk-VlIw","","Alerta de seguridad: posible fraude detectado","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:13:09.000","17DS5jgdS8-t2cxOdEsMnA.recvd-6cfbc69475-rs6gw-1-695E4DD4-3E.0","drop","","17DS5jgdS8-t2cxOdEsMnA","","Pago programado","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:13:09.000","ByaN8Vl4Rqi3nkdyVx7AuA.recvd-5fd89d8b4b-wtkd5-1-695E4DD5-D.0","drop","","ByaN8Vl4Rqi3nkdyVx7AuA","","Nuevo inicio de sesión en tu cuenta","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:13:09.000","kgAaIVa_SS6F8k819gP5Ug.recvd-canary-676bcfb99b-lksbl-1-695E4DD5-16.0","processed","","kgAaIVa_SS6F8k819gP5Ug","","Test Notifications Service","elenaberdu@gmail.com","elenaberdu@gmail.com","","","87.58.86.119","","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:13:11.000","kgAaIVa_SS6F8k819gP5Ug.recvd-canary-676bcfb99b-lksbl-1-695E4DD5-16.0","delivered","","kgAaIVa_SS6F8k819gP5Ug","","","","elenaberdu@gmail.com","","","","250 2.0.0 OK  1767787991 d75a77b69052e-4ffa8e750dcsi48824561cf.138 - gsmtp","149.72.123.24","shared","gmail-smtp-in.l.google.com",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:21:42.000","cKKDh-C2RbmKMJ6Gg7dbIA.recvd-5fd89d8b4b-wg6tt-1-695E4FD6-F.0","drop","","cKKDh-C2RbmKMJ6Gg7dbIA","","Nuevo inicio de sesión en tu cuenta","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:21:43.000","nr2EPsInRhOeKG2Irbubkw.recvd-6cfbc69475-fksj9-1-695E4FD7-17.0","drop","","nr2EPsInRhOeKG2Irbubkw","","Alerta de seguridad: posible fraude detectado","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:21:43.000","56xZcZp4RNmyfIEjnGAs7g.recvd-7445688857-w5s6h-1-695E4FD7-2.0","drop","","56xZcZp4RNmyfIEjnGAs7g","","Pago realizado correctamente","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:22:32.000","xKjh4uH1QDm9SN3TCVT-cw.recvd-7445688857-5vjbt-1-695E5008-2.0","drop","","xKjh4uH1QDm9SN3TCVT-cw","","Nuevo inicio de sesión en tu cuenta","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:22:32.000","jj2N2fgwQe-j9GMQtT2z9A.recvd-6cfbc69475-6776c-1-695E5008-13.0","drop","","jj2N2fgwQe-j9GMQtT2z9A","","Pago realizado correctamente","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:22:32.000","5anfSJUMTfOlho2wehfAAA.recvd-67dddcc6fc-kqmh5-1-695E5008-B.0","drop","","5anfSJUMTfOlho2wehfAAA","","Pago realizado correctamente","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:22:38.000","hxmF5lmqQluDS-YsO_PVSw.recvd-5fb7fdbd94-tr8pz-1-695E500E-1E.0","drop","","hxmF5lmqQluDS-YsO_PVSw","","Alerta de seguridad: posible fraude detectado","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:22:38.000","I0y6d5-8Tge4XKuJJbEJMA.recvd-6db4b8db96-4hdl6-1-695E500E-23.0","drop","","I0y6d5-8Tge4XKuJJbEJMA","","Pago programado","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:22:39.000","szUzpyB-QCKjy-ezGZq-RA.recvd-6db4b8db96-9jssc-1-695E500F-B.0","processed","","szUzpyB-QCKjy-ezGZq-RA","","Test Notifications Service","elenaberdu@gmail.com","elenaberdu@gmail.com","","","87.58.86.119","","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:22:39.000","F0eD8qnERzWtnTN5NM5F7w.recvd-67dddcc6fc-p27cc-1-695E500F-14.0","drop","","F0eD8qnERzWtnTN5NM5F7w","","Nuevo inicio de sesión en tu cuenta","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:22:41.000","szUzpyB-QCKjy-ezGZq-RA.recvd-6db4b8db96-9jssc-1-695E500F-B.0","delivered","","szUzpyB-QCKjy-ezGZq-RA","","","","elenaberdu@gmail.com","","","","250 2.0.0 OK  1767788561 6a1803df08f44-890771ceadesi47404766d6.304 - gsmtp","159.183.235.50","shared","gmail-smtp-in.l.google.com",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:26:01.000","ebTnInhwRLuHafg6vXA_6w.recvd-6cfbc69475-7l89r-1-695E50D9-30.0","processed","","ebTnInhwRLuHafg6vXA_6w","","Test Notifications Service","elenaberdu@gmail.com","elenaberdu@gmail.com","","","87.58.86.119","","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 12:26:04.000","ebTnInhwRLuHafg6vXA_6w.recvd-6cfbc69475-7l89r-1-695E50D9-30.0","delivered","","ebTnInhwRLuHafg6vXA_6w","","","","elenaberdu@gmail.com","","","","250 2.0.0 OK  1767788763 af79cd13be357-8c37f540880si492747585a.375 - gsmtp","159.183.235.50","shared","gmail-smtp-in.l.google.com",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:07:41.000","5ioxQaCcSjykEEoyu0oweQ.recvd-57646fdd57-jt4pz-1-695E5A9D-23.0","drop","","5ioxQaCcSjykEEoyu0oweQ","","Nuevo inicio de sesión en tu cuenta","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:07:42.000","Vbo0FGJORRyyqR155AQHAQ.recvd-6db4b8db96-275gs-1-695E5A9E-C.0","drop","","Vbo0FGJORRyyqR155AQHAQ","","Pago realizado correctamente","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:07:43.000","gSGxA111RSmjoEEQU86ULQ.recvd-7445688857-zd527-1-695E5A9F-19.0","drop","","gSGxA111RSmjoEEQU86ULQ","","Pago realizado correctamente","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:07:50.000","oc8sbvnaQZejytGr8lsCEg.recvd-6cfbc69475-pmvrv-1-695E5AA6-3.0","drop","","oc8sbvnaQZejytGr8lsCEg","","Alerta de seguridad: posible fraude detectado","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:07:51.000","xVnZcJqXRgav4lRhEuD_Dw.recvd-7bd9484584-hpzqs-1-695E5AA7-14.0","processed","","xVnZcJqXRgav4lRhEuD_Dw","","Test Notifications Service","elenaberdu@gmail.com","elenaberdu@gmail.com","","","87.58.86.119","","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:07:54.000","xVnZcJqXRgav4lRhEuD_Dw.recvd-7bd9484584-hpzqs-1-695E5AA7-14.0","delivered","","xVnZcJqXRgav4lRhEuD_Dw","","","","elenaberdu@gmail.com","","","","250 2.0.0 OK  1767791274 41be03b00d2f7-c4cc93e2164si7175880a12.341 - gsmtp","159.183.235.50","shared","gmail-smtp-in.l.google.com",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:10:00.000","dA_vdvmJSTy4gJgjzlhI2A.recvd-canary-7d4b78b65c-nhdmm-1-695E5B28-E.0","drop","","dA_vdvmJSTy4gJgjzlhI2A","","Nuevo inicio de sesión en tu cuenta","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:10:01.000","dh_gXtAkSamjqEIMRpl3zw.recvd-67dddcc6fc-466kd-1-695E5B29-2.0","drop","","dh_gXtAkSamjqEIMRpl3zw","","Pago realizado correctamente","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:10:01.000","YEKWDuDaSt6-1DaxJJra7A.recvd-67dddcc6fc-zwmr2-1-695E5B29-9.0","drop","","YEKWDuDaSt6-1DaxJJra7A","","Pago realizado correctamente","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:10:06.000","kxX0pckMRVKzkhhi6paxBQ.recvd-6cfbc69475-2wvwv-1-695E5B2E-21.0","drop","","kxX0pckMRVKzkhhi6paxBQ","","Alerta de seguridad: posible fraude detectado","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:10:07.000","JVX1bz0bRjKm5XeKJMOtCg.recvd-6cfbc69475-8mxsj-1-695E5B2F-9.0","drop","","JVX1bz0bRjKm5XeKJMOtCg","","Pago programado","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:10:07.000","qhjGXVrzTY6a90zBU5KLrQ.recvd-7bd9484584-cxdr7-1-695E5B2F-21.0","processed","","qhjGXVrzTY6a90zBU5KLrQ","","Test Notifications Service","elenaberdu@gmail.com","elenaberdu@gmail.com","","","87.58.86.119","","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:10:07.000","UXi_v_nmRbuxldTC4ZzJcQ.recvd-5fb7fdbd94-nxjc5-1-695E5B2F-5B.0","drop","","UXi_v_nmRbuxldTC4ZzJcQ","","Nuevo inicio de sesión en tu cuenta","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:10:10.000","qhjGXVrzTY6a90zBU5KLrQ.recvd-7bd9484584-cxdr7-1-695E5B2F-21.0","delivered","","qhjGXVrzTY6a90zBU5KLrQ","","","","elenaberdu@gmail.com","","","","250 2.0.0 OK  1767791410 d9443c01a7336-2a3e3cd65desi77754945ad.195 - gsmtp","159.183.224.105","shared","gmail-smtp-in.l.google.com",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:36:30.000","kNMyinTAQ2ShghxZI1oj0w.recvd-67dddcc6fc-p8nhx-1-695E615E-8.0","drop","","kNMyinTAQ2ShghxZI1oj0w","","Nuevo inicio de sesión en tu cuenta","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:36:32.000","Zx3OfaOMQqikD93jmMP85A.recvd-6db4b8db96-275gs-1-695E6160-24.0","drop","","Zx3OfaOMQqikD93jmMP85A","","Pago realizado correctamente","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:36:32.000","KVLgUBbYQPqsj_W5fod6Wg.recvd-6db4b8db96-zkw26-1-695E6160-7.0","drop","","KVLgUBbYQPqsj_W5fod6Wg","","Pago realizado correctamente","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:36:33.000","MtsnuT3BQX2qhDjulXPSQQ.recvd-5fb7fdbd94-5q4qn-1-695E6161-29.0","drop","","MtsnuT3BQX2qhDjulXPSQQ","","Alerta de seguridad: posible fraude detectado","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:36:34.000","IIZMPcyZRailQFboctvyUQ.recvd-7bd9484584-pr9mb-1-695E6162-12.0","processed","","IIZMPcyZRailQFboctvyUQ","","Test Notifications Service","elenaberdu@gmail.com","elenaberdu@gmail.com","","","87.58.86.119","","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:36:35.000","CxpwaKf7Sl2xsqFlnBPUQw.recvd-6cfbc69475-fksj9-1-695E6163-18.0","drop","","CxpwaKf7Sl2xsqFlnBPUQw","","Nuevo inicio de sesión en tu cuenta","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:36:38.000","IIZMPcyZRailQFboctvyUQ.recvd-7bd9484584-pr9mb-1-695E6162-12.0","delivered","","IIZMPcyZRailQFboctvyUQ","","","","elenaberdu@gmail.com","","","","250 2.0.0 OK  1767792997 d9443c01a7336-2a3e3ccab9bsi73513855ad.161 - gsmtp","159.183.235.50","shared","gmail-smtp-in.l.google.com",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:38:03.000","Gz-eF_daScyA7fqktsGtvg.recvd-6cfbc69475-fksj9-1-695E61BB-64.0","drop","","Gz-eF_daScyA7fqktsGtvg","","Pago realizado correctamente","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:38:03.000","za7he_9KSv6zHfNgm-oUeA.recvd-7bd9484584-pwj7w-1-695E61BB-4.0","drop","","za7he_9KSv6zHfNgm-oUeA","","Nuevo inicio de sesión en tu cuenta","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:38:03.000","81y5JH3eRxSRGLBC35AsmQ.recvd-67dddcc6fc-p8nhx-1-695E61BB-2B.0","drop","","81y5JH3eRxSRGLBC35AsmQ","","Pago realizado correctamente","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:38:04.000","2-wBF5uFS5y1nwAI2HtfsA.recvd-6db4b8db96-bczr5-1-695E61BC-D.0","drop","","2-wBF5uFS5y1nwAI2HtfsA","","Alerta de seguridad: posible fraude detectado","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:38:04.000","dUZ0eOElSS2queUNcpUG_A.recvd-6db4b8db96-55bxh-1-695E61BC-1F.0","drop","","dUZ0eOElSS2queUNcpUG_A","","Nuevo inicio de sesión en tu cuenta","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:38:04.000","dW4FYJYJT-qnLQhjgbwPAA.recvd-6db4b8db96-mn67z-1-695E61BC-11.0","drop","","dW4FYJYJT-qnLQhjgbwPAA","","Pago programado","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:38:05.000","lE1NZwtKTMSOfkWCGrVk4g.recvd-canary-7f45df575c-cbq4r-1-695E61BD-8.0","drop","","lE1NZwtKTMSOfkWCGrVk4g","","Pago realizado correctamente","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:38:05.000","ZLgLhqcJTnGWXNAL-2lD3Q.recvd-67dddcc6fc-p8nhx-1-695E61BD-12.0","drop","","ZLgLhqcJTnGWXNAL-2lD3Q","","Nuevo inicio de sesión en tu cuenta","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:38:05.000","4Zikyt5JQn-qYBo42flXMw.recvd-67dddcc6fc-p27cc-1-695E61BD-1E.0","processed","","4Zikyt5JQn-qYBo42flXMw","","Test Notifications Service","elenaberdu@gmail.com","elenaberdu@gmail.com","","","87.58.86.119","","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:38:06.000","HT3rmmv-Tzq64xO6DM3kqw.recvd-67dddcc6fc-466kd-1-695E61BE-5.0","drop","","HT3rmmv-Tzq64xO6DM3kqw","","Nuevo inicio de sesión en tu cuenta","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:38:06.000","KunvMSAuRdawXx9IGi7WvA.recvd-6cfbc69475-pmvrv-1-695E61BE-5.0","drop","","KunvMSAuRdawXx9IGi7WvA","","Pago realizado correctamente","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:38:07.000","4Zikyt5JQn-qYBo42flXMw.recvd-67dddcc6fc-p27cc-1-695E61BD-1E.0","delivered","","4Zikyt5JQn-qYBo42flXMw","","","","elenaberdu@gmail.com","","","","250 2.0.0 OK  1767793087 6a1803df08f44-890771cf7basi48686596d6.309 - gsmtp","149.72.123.24","shared","gmail-smtp-in.l.google.com",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:47:34.000","UpqTRJEzRdumrGk5Uda9WA.recvd-5fd89d8b4b-c6h8q-1-695E63F6-1B.0","drop","","UpqTRJEzRdumrGk5Uda9WA","","Nuevo inicio de sesión en tu cuenta","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
"2026-01-07 13:47:35.000","HRekdq9fT7O5FHvqMAbuFg.recvd-57646fdd57-xqhcw-1-695E63F7-1F.0","drop","","HRekdq9fT7O5FHvqMAbuFg","","Pago realizado correctamente","elenaberdu@gmail.com","nomail@example.com","","","87.58.86.119","Invalid","","","",0,"","","","","","[]","","","","","{}"
